[Map Map Map Map ], 2500, 0, False, 0.0001, 1, 0.01, 15, 15, 2, 0.25, 1, run1_cosDist_Map_koh_withoutKohonen_kohSize15.txt, run1_cosDist_Map_q_withoutKohonen_kohSize15.txt, run1_cosDist_Map_koh_withoutKohonen_kohSize15.txt, run1_cosDist_Map_q_withoutKohonen_kohSize15.txt, 2246, 7761, 22.44%, 2246, 7761, 22.44%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map1 Map1 Map1 Map1 ], 2500, 0, False, 0.0001, 1, 0.01, 15, 15, 2, 0.25, 1, run1_cosDist_Map1_koh_withoutKohonen_kohSize15.txt, run1_cosDist_Map1_q_withoutKohonen_kohSize15.txt, run1_cosDist_Map1_koh_withoutKohonen_kohSize15.txt, run1_cosDist_Map1_q_withoutKohonen_kohSize15.txt, 7404, 2604, 73.98%, 0, 0, 0.00%, 7404, 2604, 73.98%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map2 Map2 Map2 Map2 ], 2500, 0, False, 0.0001, 1, 0.01, 15, 15, 2, 0.25, 1, run1_cosDist_Map2_koh_withoutKohonen_kohSize15.txt, run1_cosDist_Map2_q_withoutKohonen_kohSize15.txt, run1_cosDist_Map2_koh_withoutKohonen_kohSize15.txt, run1_cosDist_Map2_q_withoutKohonen_kohSize15.txt, 5032, 4974, 50.29%, 0, 0, 0.00%, 0, 0, 0.00%, 5032, 4974, 50.29%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map3 Map3 Map3 Map3 ], 2500, 0, False, 0.0001, 1, 0.01, 15, 15, 2, 0.25, 1, run1_cosDist_Map3_koh_withoutKohonen_kohSize15.txt, run1_cosDist_Map3_q_withoutKohonen_kohSize15.txt, run1_cosDist_Map3_koh_withoutKohonen_kohSize15.txt, run1_cosDist_Map3_q_withoutKohonen_kohSize15.txt, 3631, 6377, 36.28%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 3631, 6377, 36.28%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map4 Map4 Map4 Map4 ], 2500, 0, False, 0.0001, 1, 0.01, 15, 15, 2, 0.25, 1, run1_cosDist_Map4_koh_withoutKohonen_kohSize15.txt, run1_cosDist_Map4_q_withoutKohonen_kohSize15.txt, run1_cosDist_Map4_koh_withoutKohonen_kohSize15.txt, run1_cosDist_Map4_q_withoutKohonen_kohSize15.txt, 6273, 3735, 62.68%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 6273, 3735, 62.68%, 0, 0, 0.00%, 
[Map5 Map5 Map5 Map5 ], 2500, 0, False, 0.0001, 1, 0.01, 15, 15, 2, 0.25, 1, run1_cosDist_Map5_koh_withoutKohonen_kohSize15.txt, run1_cosDist_Map5_q_withoutKohonen_kohSize15.txt, run1_cosDist_Map5_koh_withoutKohonen_kohSize15.txt, run1_cosDist_Map5_q_withoutKohonen_kohSize15.txt, 3134, 6873, 31.32%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 3134, 6873, 31.32%, 

[Map Map Map Map ], 2500, 0, False, 0.0001, 1, 0.01, 15, 15, 2, 0.25, 1, run1_cosDist_Map_koh_withKohonen.txt, run1_cosDist_Map_q_withKohonen.txt, run1_cosDist_Map_koh_withKohonen.txt, run1_cosDist_Map_q_withKohonen.txt, 6489, 3518, 64.84%, 6489, 3518, 64.84%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map1 Map1 Map1 Map1 ], 2500, 0, False, 0.0001, 1, 0.01, 15, 15, 2, 0.25, 1, run1_cosDist_Map1_koh_withKohonen.txt, run1_cosDist_Map1_q_withKohonen.txt, run1_cosDist_Map1_koh_withKohonen.txt, run1_cosDist_Map1_q_withKohonen.txt, 4351, 5655, 43.48%, 0, 0, 0.00%, 4351, 5655, 43.48%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
[Map2 Map2 Map2 Map2 ], 2500, 0, False, 0.0001, 1, 0.01, 15, 15, 2, 0.25, 1, run1_cosDist_Map2_koh_withKohonen.txt, run1_cosDist_Map2_q_withKohonen.txt, run1_cosDist_Map2_koh_withKohonen.txt, run1_cosDist_Map2_q_withKohonen.txt, 398, 9610, 3.98%, 0, 0, 0.00%, 0, 0, 0.00%, 398, 9610, 3.98%, 0, 0, 0.00%, 0, 0, 0.00%, 0, 0, 0.00%, 
