0.000 0.009 0.013 0.000 0.008 0.000 0.000 0.005 0.000 0.250 0.672 0.009 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.008 0.015 0.000 0.009 0.000 0.000 0.006 0.000 0.250 0.696 0.010 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.008 0.028 0.000 0.015 0.000 0.000 0.009 0.000 0.250 0.777 0.015 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.009 0.037 0.000 0.019 0.000 0.000 0.011 0.000 0.250 0.884 0.018 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.015 0.039 0.000 0.028 0.000 0.000 0.009 0.000 0.250 0.935 0.021 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.016 0.079 0.000 0.067 0.000 0.000 0.005 0.000 0.250 0.976 0.040 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.014 0.087 0.000 0.080 0.000 0.000 0.003 0.000 0.217 0.928 0.091 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.019 0.047 0.000 0.074 0.000 0.000 0.000 0.000 0.064 0.627 0.292 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.022 0.029 0.000 0.069 0.000 0.000 0.000 0.000 0.011 0.522 0.361 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.019 0.028 0.000 0.062 0.000 0.000 0.002 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.013 0.034 0.000 0.055 0.000 0.000 0.005 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.006 0.044 0.000 0.046 0.000 0.000 0.010 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.002 0.052 0.000 0.039 0.000 0.000 0.018 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.058 0.000 0.035 0.000 0.000 0.026 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.062 0.000 0.038 0.000 0.000 0.027 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 
0.000 0.008 0.015 0.000 0.009 0.000 0.000 0.006 0.000 0.250 0.696 0.010 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.008 0.018 0.000 0.010 0.000 0.000 0.007 0.000 0.250 0.722 0.011 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.007 0.030 0.000 0.015 0.000 0.000 0.010 0.000 0.250 0.804 0.015 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.008 0.033 0.000 0.016 0.000 0.000 0.011 0.000 0.250 0.885 0.016 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.013 0.035 0.000 0.023 0.000 0.000 0.009 0.000 0.250 0.900 0.019 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.014 0.077 0.000 0.060 0.000 0.000 0.009 0.000 0.250 0.957 0.038 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.014 0.084 0.000 0.077 0.000 0.000 0.006 0.000 0.170 0.836 0.152 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.018 0.055 0.000 0.077 0.000 0.000 0.001 0.000 0.047 0.595 0.313 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.020 0.041 0.000 0.074 0.000 0.000 0.000 0.000 0.006 0.513 0.367 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.016 0.037 0.000 0.063 0.000 0.000 0.001 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.011 0.041 0.000 0.054 0.000 0.000 0.003 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.005 0.049 0.000 0.046 0.000 0.000 0.007 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.002 0.055 0.000 0.038 0.000 0.000 0.014 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.060 0.000 0.035 0.000 0.000 0.023 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.063 0.000 0.037 0.000 0.000 0.027 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 
0.000 0.007 0.024 0.000 0.013 0.000 0.000 0.009 0.000 0.250 0.775 0.013 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.007 0.026 0.000 0.013 0.000 0.000 0.010 0.000 0.250 0.802 0.014 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.006 0.031 0.000 0.014 0.000 0.000 0.011 0.000 0.250 0.859 0.015 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.007 0.021 0.000 0.007 0.000 0.000 0.010 0.000 0.250 0.874 0.011 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.012 0.042 0.000 0.025 0.000 0.000 0.011 0.000 0.250 0.876 0.021 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.012 0.084 0.000 0.056 0.000 0.000 0.018 0.000 0.250 0.954 0.039 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.013 0.084 0.000 0.072 0.000 0.000 0.013 0.000 0.156 0.808 0.169 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.014 0.067 0.000 0.079 0.000 0.000 0.003 0.000 0.038 0.576 0.325 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.017 0.055 0.000 0.077 0.000 0.000 0.000 0.000 0.003 0.507 0.371 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.012 0.051 0.000 0.067 0.000 0.000 0.000 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.007 0.054 0.000 0.056 0.000 0.000 0.002 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.003 0.058 0.000 0.046 0.000 0.000 0.007 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.062 0.000 0.039 0.000 0.000 0.014 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.063 0.000 0.036 0.000 0.000 0.023 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.064 0.000 0.040 0.000 0.000 0.022 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 
0.000 0.007 0.036 0.000 0.017 0.000 0.000 0.007 0.000 0.250 0.906 0.016 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.004 0.026 0.000 0.010 0.000 0.000 0.010 0.000 0.250 0.897 0.012 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.004 0.025 0.000 0.009 0.000 0.000 0.010 0.000 0.250 0.863 0.011 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.007 0.035 0.000 0.015 0.000 0.000 0.010 0.000 0.250 0.837 0.016 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.012 0.065 0.000 0.034 0.000 0.000 0.021 0.000 0.250 0.896 0.030 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.011 0.085 0.000 0.044 0.000 0.000 0.035 0.000 0.249 0.973 0.039 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.012 0.079 0.000 0.061 0.000 0.000 0.023 0.000 0.153 0.795 0.166 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.012 0.068 0.000 0.075 0.000 0.000 0.006 0.000 0.036 0.572 0.325 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.011 0.066 0.000 0.076 0.000 0.000 0.001 0.000 0.004 0.509 0.369 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.008 0.066 0.000 0.074 0.000 0.000 0.000 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.004 0.066 0.000 0.062 0.000 0.000 0.001 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.002 0.066 0.000 0.053 0.000 0.000 0.005 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.065 0.000 0.044 0.000 0.000 0.012 0.000 0.000 0.500 0.373 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.064 0.000 0.040 0.000 0.000 0.017 0.000 0.000 0.500 0.370 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.063 0.000 0.041 0.000 0.000 0.017 0.000 0.000 0.500 0.367 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 
0.000 0.009 0.073 0.000 0.043 0.000 0.000 0.005 0.000 0.250 0.974 0.030 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.006 0.062 0.000 0.032 0.000 0.000 0.006 0.000 0.250 0.937 0.025 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.007 0.061 0.000 0.030 0.000 0.000 0.008 0.000 0.250 0.915 0.024 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.011 0.070 0.000 0.034 0.000 0.000 0.017 0.000 0.250 0.921 0.029 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.012 0.080 0.000 0.037 0.000 0.000 0.036 0.000 0.249 0.964 0.035 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.011 0.078 0.000 0.041 0.000 0.000 0.048 0.000 0.230 0.947 0.045 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.008 0.053 0.000 0.046 0.000 0.000 0.039 0.000 0.133 0.755 0.108 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.009 0.048 0.000 0.060 0.000 0.000 0.018 0.000 0.034 0.567 0.255 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.008 0.055 0.000 0.067 0.000 0.000 0.007 0.000 0.007 0.513 0.324 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.006 0.057 0.000 0.069 0.000 0.000 0.003 0.000 0.000 0.500 0.338 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.005 0.052 0.000 0.069 0.000 0.000 0.000 0.000 0.000 0.500 0.320 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.002 0.039 0.000 0.065 0.000 0.000 0.002 0.000 0.000 0.500 0.273 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.030 0.000 0.061 0.000 0.000 0.004 0.000 0.000 0.500 0.237 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.021 0.000 0.059 0.000 0.000 0.005 0.000 0.000 0.500 0.205 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.018 0.000 0.058 0.000 0.000 0.004 0.000 0.000 0.500 0.193 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 
0.000 0.009 0.100 0.000 0.058 0.000 0.000 0.004 0.000 0.250 0.999 0.038 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.007 0.098 0.000 0.051 0.000 0.000 0.005 0.000 0.250 0.999 0.036 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.009 0.096 0.000 0.047 0.000 0.000 0.010 0.000 0.250 0.999 0.036 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.013 0.090 0.000 0.043 0.000 0.000 0.025 0.000 0.250 0.994 0.037 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.012 0.077 0.000 0.039 0.000 0.000 0.042 0.000 0.226 0.937 0.047 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.008 0.042 0.000 0.039 0.000 0.000 0.046 0.000 0.127 0.753 0.082 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.004 0.016 0.000 0.036 0.000 0.000 0.039 0.000 0.050 0.600 0.109 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.002 0.008 0.000 0.037 0.000 0.000 0.033 0.000 0.015 0.530 0.131 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.010 0.000 0.042 0.000 0.000 0.025 0.000 0.003 0.505 0.161 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.016 0.000 0.051 0.000 0.000 0.014 0.000 0.000 0.500 0.187 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.016 0.000 0.061 0.000 0.000 0.004 0.000 0.000 0.500 0.183 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.008 0.000 0.066 0.000 0.000 0.000 0.000 0.000 0.500 0.154 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.002 0.000 0.066 0.000 0.000 0.000 0.000 0.000 0.500 0.133 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.067 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.066 0.000 0.000 0.000 0.000 0.000 0.500 0.126 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 
0.000 0.013 0.105 0.000 0.065 0.000 0.000 0.004 0.000 0.232 0.964 0.067 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.012 0.106 0.000 0.060 0.000 0.000 0.005 0.000 0.226 0.952 0.074 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.014 0.097 0.000 0.058 0.000 0.000 0.007 0.000 0.198 0.894 0.111 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.016 0.081 0.000 0.054 0.000 0.000 0.013 0.000 0.166 0.819 0.145 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.011 0.047 0.000 0.045 0.000 0.000 0.030 0.000 0.103 0.703 0.135 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.004 0.015 0.000 0.038 0.000 0.000 0.035 0.000 0.041 0.581 0.123 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.004 0.000 0.034 0.000 0.000 0.034 0.000 0.012 0.525 0.121 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.001 0.000 0.034 0.000 0.000 0.033 0.000 0.003 0.506 0.124 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.035 0.000 0.000 0.027 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.041 0.000 0.000 0.018 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.055 0.000 0.000 0.006 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.064 0.000 0.000 0.001 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.067 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.067 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.067 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 
0.000 0.019 0.060 0.000 0.062 0.000 0.000 0.001 0.000 0.088 0.676 0.257 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.013 0.069 0.000 0.064 0.000 0.000 0.000 0.000 0.070 0.641 0.281 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.012 0.071 0.000 0.064 0.000 0.000 0.002 0.000 0.063 0.625 0.291 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.012 0.068 0.000 0.067 0.000 0.000 0.004 0.000 0.046 0.592 0.310 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.008 0.041 0.000 0.055 0.000 0.000 0.016 0.000 0.027 0.554 0.241 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.002 0.010 0.000 0.038 0.000 0.000 0.030 0.000 0.009 0.518 0.147 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.001 0.000 0.034 0.000 0.000 0.032 0.000 0.000 0.500 0.128 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.033 0.000 0.000 0.028 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.034 0.000 0.000 0.022 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.000 0.000 0.037 0.000 0.000 0.014 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.002 0.000 0.000 0.049 0.000 0.000 0.005 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.000 0.000 0.061 0.000 0.000 0.001 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.066 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.067 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.067 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 
0.000 0.020 0.042 0.000 0.063 0.000 0.000 0.002 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.015 0.052 0.000 0.067 0.000 0.000 0.001 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.011 0.060 0.000 0.069 0.000 0.000 0.001 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.009 0.063 0.000 0.071 0.000 0.000 0.000 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.007 0.052 0.000 0.065 0.000 0.000 0.007 0.000 0.000 0.500 0.323 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.002 0.014 0.000 0.047 0.000 0.000 0.018 0.000 0.000 0.500 0.179 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.001 0.000 0.038 0.000 0.000 0.025 0.000 0.000 0.500 0.128 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.035 0.000 0.000 0.021 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.000 0.000 0.034 0.000 0.000 0.015 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.007 0.000 0.000 0.034 0.000 0.000 0.008 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.010 0.000 0.000 0.041 0.000 0.000 0.003 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.008 0.000 0.000 0.052 0.000 0.000 0.001 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.004 0.000 0.000 0.061 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.000 0.000 0.066 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.000 0.000 0.067 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 
0.000 0.018 0.046 0.000 0.060 0.000 0.000 0.003 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.014 0.053 0.000 0.063 0.000 0.000 0.002 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.009 0.060 0.000 0.066 0.000 0.000 0.001 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.007 0.064 0.000 0.068 0.000 0.000 0.000 0.000 0.000 0.500 0.375 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.004 0.052 0.000 0.068 0.000 0.000 0.001 0.000 0.000 0.500 0.324 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.017 0.000 0.059 0.000 0.000 0.006 0.000 0.000 0.500 0.190 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.000 0.002 0.000 0.050 0.000 0.000 0.012 0.000 0.000 0.500 0.131 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.001 0.000 0.000 0.041 0.000 0.000 0.012 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.008 0.000 0.000 0.036 0.000 0.000 0.007 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.015 0.000 0.000 0.034 0.000 0.000 0.003 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.021 0.000 0.000 0.034 0.000 0.000 0.001 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.020 0.001 0.000 0.040 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.011 0.003 0.000 0.050 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.004 0.005 0.000 0.057 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 0.000 0.005 0.003 0.000 0.058 0.000 0.000 0.000 0.000 0.000 0.500 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  ---| 
